val_loss_step,val_f1_score_step,step,val_loss_epoch,val_f1_score_epoch,epoch,train_loss_epoch,train_f1_score_epoch,train_f1_score_step,train_loss_step
1.4850133657455444,0.25,0,,,,,,,
1.0053242444992065,0.5,1,,,,,,,
1.366202473640442,0.25,2,,,,,,,
,,11,1.2855134010314941,0.3333333432674408,0,,,,
,,11,,,0,1.193150520324707,0.3020833432674408,,
0.9232310056686401,0.5,3,,,,,,,
0.810875654220581,0.75,4,,,,,,,
0.7823582291603088,0.75,5,,,,,,,
,,23,0.8388216495513916,0.6666666865348816,1,,,,
,,23,,,1,0.9753673672676086,0.5104166865348816,,
0.7415462136268616,0.75,6,,,,,,,
1.0486524105072021,0.5,7,,,,,,,
0.8311550617218018,0.625,8,,,,,,,
,,35,0.8737845420837402,0.625,2,,,,
,,35,,,2,0.820446252822876,0.71875,,
0.7090100646018982,0.5,9,,,,,,,
0.597858190536499,0.75,10,,,,,,,
0.6216747164726257,0.75,11,,,,,,,
,,47,0.6428477168083191,0.6666666865348816,3,,,,
,,47,,,3,0.8035944104194641,0.65625,,
,,49,,,4,,,0.875,0.691130518913269
0.663824200630188,0.625,12,,,,,,,
0.5741842985153198,0.75,13,,,,,,,
0.5265187621116638,0.875,14,,,,,,,
,,59,0.5881757736206055,0.75,4,,,,
,,59,,,4,0.6496669054031372,0.7708333134651184,,
1.0058534145355225,0.5,15,,,,,,,
0.5618049502372742,0.75,16,,,,,,,
0.6139940023422241,0.75,17,,,,,,,
,,71,0.7272174954414368,0.6666666865348816,5,,,,
,,71,,,5,0.5867722034454346,0.7083333134651184,,
1.023990511894226,0.5,18,,,,,,,
0.5516040325164795,0.75,19,,,,,,,
0.5979752540588379,0.75,20,,,,,,,
,,83,0.7245232462882996,0.6666666865348816,6,,,,
,,83,,,6,0.6696005463600159,0.7083333134651184,,
0.7679557800292969,0.5,21,,,,,,,
0.4669918119907379,0.75,22,,,,,,,
0.48137974739074707,0.75,23,,,,,,,
,,95,0.5721091032028198,0.6666666865348816,7,,,,
,,95,,,7,0.5584036707878113,0.7708333134651184,,
,,99,,,8,,,1.0,0.22854083776474
0.49370595812797546,0.75,24,,,,,,,
0.6469436883926392,0.625,25,,,,,,,
0.45211997628211975,0.75,26,,,,,,,
,,107,0.5309231877326965,0.7083333134651184,8,,,,
,,107,,,8,0.5263440608978271,0.7291666865348816,,
0.6891365051269531,0.5,27,,,,,,,
0.4281407594680786,0.75,28,,,,,,,
0.42904743552207947,0.75,29,,,,,,,
,,119,0.5154415965080261,0.6666666865348816,9,,,,
,,119,,,9,0.45452389121055603,0.8333333134651184,,
