val_f1_score_step,step,val_loss_step,val_loss_epoch,val_f1_score_epoch,epoch,train_f1_score_epoch,train_loss_epoch,train_loss_step,train_f1_score_step
0.75,0,0.8723462224006653,,,,,,,
0.5,1,0.9890240430831909,,,,,,,
0.625,2,0.9314089417457581,,,,,,,
,11,,0.9309263825416565,0.625,0,,,,
,11,,,,0,0.3958333432674408,1.1117295026779175,,
0.5,3,0.8033043146133423,,,,,,,
0.75,4,0.6865963935852051,,,,,,,
0.75,5,0.7487398982048035,,,,,,,
,23,,0.7462134957313538,0.6666666865348816,1,,,,
,23,,,,1,0.6354166865348816,0.8707365393638611,,
0.75,6,0.6326737403869629,,,,,,,
0.5,7,0.7866246700286865,,,,,,,
0.75,8,0.6815414428710938,,,,,,,
,35,,0.700279951095581,0.6666666865348816,2,,,,
,35,,,,2,0.65625,0.7488256096839905,,
1.0,9,0.6150336861610413,,,,,,,
0.75,10,0.6334348917007446,,,,,,,
1.0,11,0.5415188670158386,,,,,,,
,47,,0.5966625213623047,0.9166666865348816,3,,,,
,47,,,,3,0.625,0.7251543998718262,,
,49,,,,4,,,0.6701257824897766,0.625
1.0,12,0.5548062324523926,,,,,,,
0.75,13,0.6112900972366333,,,,,,,
0.875,14,0.5017798542976379,,,,,,,
,59,,0.5559587478637695,0.875,4,,,,
,59,,,,4,0.75,0.6289491653442383,,
0.75,15,0.5114672780036926,,,,,,,
0.625,16,0.6194356679916382,,,,,,,
0.75,17,0.4807966351509094,,,,,,,
,71,,0.5372331738471985,0.7083333134651184,5,,,,
,71,,,,5,0.8229166865348816,0.5438796877861023,,
0.5,18,0.5780552625656128,,,,,,,
0.875,19,0.4555900990962982,,,,,,,
0.875,20,0.43964844942092896,,,,,,,
,83,,0.49109792709350586,0.75,6,,,,
,83,,,,6,0.75,0.5365898609161377,,
0.75,21,0.5422425866127014,,,,,,,
0.875,22,0.4452492892742157,,,,,,,
0.875,23,0.4109608232975006,,,,,,,
,95,,0.4661508798599243,0.8333333134651184,7,,,,
,95,,,,7,0.6979166865348816,0.5122001767158508,,
,99,,,,8,,,0.4021938443183899,0.75
0.5,24,0.786673367023468,,,,,,,
0.75,25,0.44153496623039246,,,,,,,
0.75,26,0.4764142632484436,,,,,,,
,107,,0.5682075023651123,0.6666666865348816,8,,,,
,107,,,,8,0.7604166865348816,0.48017799854278564,,
0.5,27,0.7412518262863159,,,,,,,
0.75,28,0.4189779460430145,,,,,,,
0.75,29,0.4489019811153412,,,,,,,
,119,,0.5363772511482239,0.6666666865348816,9,,,,
,119,,,,9,0.7291666865348816,0.51789790391922,,
1.0,30,0.41765448451042175,,,,,,,
0.75,31,0.5184458494186401,,,,,,,
0.875,32,0.37680482864379883,,,,,,,
,131,,0.43763506412506104,0.875,10,,,,
,131,,,,10,0.7916666865348816,0.48786434531211853,,
0.875,33,0.42887431383132935,,,,,,,
1.0,34,0.42810487747192383,,,,,,,
1.0,35,0.3490733802318573,,,,,,,
,143,,0.4020175039768219,0.9583333134651184,11,,,,
,143,,,,11,0.8333333134651184,0.4199798107147217,,
,149,,,,12,,,0.29309800267219543,1.0
0.625,36,0.508166491985321,,,,,,,
0.875,37,0.35977548360824585,,,,,,,
0.875,38,0.35337960720062256,,,,,,,
,155,,0.4071072041988373,0.7916666865348816,12,,,,
,155,,,,12,0.9166666865348816,0.41332635283470154,,
0.75,39,0.49128884077072144,,,,,,,
0.875,40,0.3552813231945038,,,,,,,
0.875,41,0.33496347069740295,,,,,,,
,167,,0.39384451508522034,0.8333333134651184,13,,,,
,167,,,,13,0.875,0.40268492698669434,,
0.875,42,0.3843863606452942,,,,,,,
0.875,43,0.41070717573165894,,,,,,,
1.0,44,0.3252837657928467,,,,,,,
,179,,0.3734591007232666,0.9166666865348816,14,,,,
,179,,,,14,0.8020833134651184,0.4083310663700104,,
0.75,45,0.36899450421333313,,,,,,,
0.625,46,0.6011485457420349,,,,,,,
0.75,47,0.37636086344718933,,,,,,,
,191,,0.4488346576690674,0.7083333134651184,15,,,,
,191,,,,15,0.90625,0.37741991877555847,,
,199,,,,16,,,0.3795435428619385,0.875
1.0,48,0.3503150939941406,,,,,,,
0.75,49,0.47865021228790283,,,,,,,
0.875,50,0.3265574872493744,,,,,,,
,203,,0.3851742744445801,0.875,16,,,,
,203,,,,16,0.90625,0.38319239020347595,,
1.0,51,0.34341734647750854,,,,,,,
0.75,52,0.4827425479888916,,,,,,,
0.875,53,0.318423867225647,,,,,,,
,215,,0.3815279006958008,0.875,17,,,,
,215,,,,17,0.90625,0.36168113350868225,,
